Sub_ID;Island_Group;Sub_Area;Tech_Pot_med;LCOE_med;BPP
16440;Sulawesi;1.274;0.003975573;18.31;6.58
16441;Sulawesi;1.857;0.007012194;17.88;6.58
16442;Sulawesi;2.54;0.010514159;16.48;6.58
16443;Sulawesi;1.516;0.007632231;13.02;6.58
16444;Sulawesi;26.073;0.148129405;14.08;6.58
16445;Sulawesi;5.002;0.030106138;12.7;6.58
16447;Sulawesi;3.798;0.022135669;12.78;6.58
16448;Sulawesi;0.412;0;12.06;6.58
16449;Sulawesi;0.824;0.003838075;11.87;6.58
16450;Sulawesi;1.47;0.006610224;14;6.58
16451;Sulawesi;1.399;0.0066273;13.7;6.58
16452;Sulawesi;1.011;0.004804806;12.89;6.58
16453;Sulawesi;0.468;0;12.49;6.58
16454;Sulawesi;1.34;0.006696311;13.25;6.58
16455;Sulawesi;27.608;0.144929832;15.07;6.58
16456;Sulawesi;0.596;0;13.41;6.58
16457;Sulawesi;14.278;0.08222599;13.74;6.58
16458;Sulawesi;0.825;0.003481495;12.71;6.58
16459;Sulawesi;2.545;0.010508141;16.49;6.58
16460;Sulawesi;5.677;0.034375551;12.8;6.58
16461;Sulawesi;5.368;0.033055967;12.07;6.58
16462;Sulawesi;0.755;0.002999002;13.3;6.58
16463;Sulawesi;55.154;0.27462526;15.82;6.58
16464;Sulawesi;108.524;0.583427677;14.9;6.58
16465;Sulawesi;67.106;0.371105963;14.51;6.58
16466;Sulawesi;54.009;0.253015205;16.7;6.58
16467;Sulawesi;1.397;0.005490517;16.04;6.58
16469;Sulawesi;64.69;0.356421596;14.51;6.58
16471;Sulawesi;4.737;0.024822047;14.41;6.58
16472;Sulawesi;120.827;0.67284548;14.45;6.58
16473;Sulawesi;4.561;0.019834904;17.02;6.58
16474;Sulawesi;1.991;0.009725958;14.19;6.58
16475;Sulawesi;3.134;0.014777257;15.09;6.58
16476;Sulawesi;0.633;0;15.56;6.58
16477;Sulawesi;49.577;0.405910181;10.46;6.58
16478;Sulawesi;0.566;0;14.72;6.58
16479;Sulawesi;44.2;0.310376968;11.81;6.58
16480;Sulawesi;29.427;0.222674675;11.07;6.58
16481;Sulawesi;24.089;0.218485127;9.64;6.58
16482;Sulawesi;7.754;0.043118722;13.96;6.58
16483;Sulawesi;10.419;0.06441668;13.01;6.58
16484;Sulawesi;13.522;0.069779361;15.14;6.58
16485;Sulawesi;21.909;0.101641273;16.59;6.58
16486;Sulawesi;1.548;0.004910014;19.1;6.58
16487;Sulawesi;13.892;0.081932862;13.45;6.58
16488;Sulawesi;8.726;0.052540048;13.06;6.58
16489;Sulawesi;165.313;0.811107464;16.15;6.58
16490;Sulawesi;191.172;0.833454992;17.93;6.58
16491;Sulawesi;10.377;0.053745407;15.04;6.58
16492;Sulawesi;4.621;0.023949433;14.49;6.58
16496;Sulawesi;59.517;0.454996742;11.03;6.58
16497;Sulawesi;60.175;0.411327375;12.1;6.58
16499;Sulawesi;111.575;0.583505094;15.29;6.58
16500;Sulawesi;20.481;0.114027616;14.28;6.58
16506;Sulawesi;2.142;0.011633631;13.06;6.58
16510;Sulawesi;3.791;0.016645977;16.25;6.58
16513;Sulawesi;0.406;0;14.8;6.58
16520;Sulawesi;0.342;0;14.17;6.58
16521;Sulawesi;102.567;0.689446052;12.29;6.58
16523;Sulawesi;124.495;0.690425887;14.52;6.58
16525;Sulawesi;88.786;0.533644936;13.54;6.58
16527;Sulawesi;96.367;0.51733137;14.93;6.58
16529;Sulawesi;7.958;0.045852498;13.5;6.58
16530;Sulawesi;6.028;0.030449825;14.95;6.58
16531;Sulawesi;97.891;0.506498858;15.39;6.58
16532;Sulawesi;20.62;0.126543496;13.2;6.58
16533;Sulawesi;8.869;0.036053466;18.19;6.58
16534;Sulawesi;1.494;0.005404878;17.24;6.58
16536;Sulawesi;4.668;0.021741677;15.95;6.58
16537;Sulawesi;1.128;0.004831992;14.88;6.58
16538;Sulawesi;85.124;0.525371226;13.29;6.58
16539;Sulawesi;180.446;1.053622382;13.93;6.58
16540;Sulawesi;87.746;0.467748729;15;6.58
16541;Sulawesi;19.199;0.109524709;13.84;6.58
16544;Sulawesi;3.494;0.01533129;16.66;6.58
16577;Sulawesi;0.914;0.002983573;16.36;7.48
16579;Sulawesi;3.808;0.017378299;15.7;7.48
16580;Sulawesi;1.464;0.005136868;17.39;7.48
16583;Sulawesi;0.924;0.003098612;15.86;7.48
16584;Sulawesi;2.847;0.011072101;17.48;7.48
16616;Sulawesi;2.412;0.010982023;14.95;7.48
16631;Sulawesi;0.346;0;14.29;11.22
16633;Sulawesi;47.279;0.243343287;15.45;11.22
16634;Sulawesi;4.523;0.016276236;20.21;11.22
16637;Sulawesi;0.385;0;12.41;6.58
16638;Sulawesi;1.632;0.008861589;12.13;6.58
16639;Sulawesi;7.209;0.063956282;9.25;6.58
16640;Sulawesi;1.855;0.008825465;14.61;6.58
16641;Sulawesi;29.425;0.235989826;10.58;6.58
16642;Sulawesi;58.555;0.369377156;13.02;6.58
16644;Sulawesi;33.097;0.176470505;14.92;6.58
16645;Sulawesi;64.433;0.433178525;12.32;6.58
16647;Sulawesi;30.633;0.19935112;12.68;6.58
16648;Sulawesi;31.722;0.378225479;7.86;6.58
16649;Sulawesi;38.2;0.397561297;8.66;6.58
16650;Sulawesi;73.299;0.589103785;10.64;6.58
16651;Sulawesi;44.375;0.330957609;11.26;6.58
16653;Sulawesi;3.195;0.017725849;13.17;6.58
16654;Sulawesi;0.398;0;10.89;6.58
16655;Sulawesi;3.149;0.033966479;7.8;6.58
16702;Sulawesi;0.461;0;18.74;7.48
16704;Sulawesi;6.461;0.039712356;12.38;7.48
16705;Sulawesi;5.077;0.029312643;13.02;7.48
16716;Sulawesi;10.061;0.066143997;11.84;11.42
16723;Sulawesi;29.003;0.170037437;13.67;11.42
16724;Sulawesi;158.783;1.052309713;12.47;11.42
16726;Sulawesi;20.464;0.096177343;16.58;11.42
16733;Sulawesi;110.773;0.765601642;12.04;7.48
16734;Sulawesi;33.223;0.20354355;13.15;7.48
16745;Sulawesi;63.666;0.382071407;13.53;11.42
16749;Sulawesi;27.709;0.155495046;14.18;11.42
16753;Sulawesi;18.637;0.127486551;11.98;11.42
16754;Sulawesi;119.236;0.791022951;12.37;11.42
16755;Sulawesi;1.357;0.005491951;16.21;11.42
16760;Sulawesi;30.76;0.167946254;14.68;7.48
16763;Sulawesi;0.828;0.002448926;17.05;7.48
16764;Sulawesi;1.033;0.003472104;17.59;7.48
16770;Sulawesi;35.192;0.204187028;13.97;11.42
16771;Sulawesi;35.834;0.234996818;12.4;11.42
16772;Sulawesi;17.559;0.116497277;12.22;11.42
16773;Sulawesi;13.736;0.088580866;12.4;11.42
16774;Sulawesi;6.219;0.036149292;13.06;11.42
16775;Sulawesi;10.386;0.057947727;14.11;11.42
16776;Sulawesi;1.462;0.007289941;12.81;11.42
16782;Sulawesi;115.172;1.004079231;10.02;11.42
16783;Sulawesi;105.333;0.76012837;11.59;11.42
16784;Sulawesi;11.488;0.065395388;13.81;11.42
16786;Sulawesi;17.255;0.082321304;16.13;11.42
16787;Sulawesi;93.624;0.725820554;10.97;11.42
16807;Sulawesi;75.541;0.464372592;13.16;11.42
16809;Sulawesi;26.193;0.181678022;11.92;11.42
16818;Sulawesi;35.303;0.198029294;14.34;11.42
16820;Sulawesi;2.939;0.015432856;13.76;11.42
16824;Sulawesi;97.896;0.449212418;17.08;11.42
16825;Sulawesi;11.294;0.049872594;17.34;11.42
16829;Sulawesi;45.683;0.285910595;13.08;7.48
16839;Sulawesi;1;0.005129796;11.91;11.42
16841;Sulawesi;25.825;0.170385152;12.25;11.42
16842;Sulawesi;10.521;0.073648809;11.56;11.42
16843;Sulawesi;2.847;0.011297289;17.13;11.42
16844;Sulawesi;4.923;0.021151084;17.05;11.42
16845;Sulawesi;25.002;0.159598992;12.78;11.42
16857;Sulawesi;3.987;0.016028897;17.84;11.42
16858;Sulawesi;55.175;0.236869273;18.05;11.42
16860;Sulawesi;36.217;0.218644709;13.41;7.48
16871;Sulawesi;1.538;0.007160197;13.71;11.42
16872;Sulawesi;20.776;0.150489986;11.39;11.42
16873;Sulawesi;2.148;0.013291811;11.68;11.42
16874;Sulawesi;82.818;0.577167465;11.9;11.42
16875;Sulawesi;0.378;0;15.58;11.42
16883;Sulawesi;48.02;0.275624105;13.9;11.42
16884;Sulawesi;5.416;0.029648361;13.97;11.42
16885;Sulawesi;1.4;0.014541655;7.42;11.42
16886;Sulawesi;4.147;0.027225599;11.56;11.42
16887;Sulawesi;2.428;0.011808148;14.44;11.42
16892;Sulawesi;17.854;0.113261608;12.67;11.42
16893;Sulawesi;8.16;0.040665039;15.14;11.42
16903;Sulawesi;57.741;0.391848498;12.14;11.42
16905;Sulawesi;10.88;0.091304379;9.96;11.42
16911;Sulawesi;119.99;0.587285727;16.14;7.48
16912;Sulawesi;72.537;0.390324948;14.83;7.48
16921;Sulawesi;17.965;0.134265404;11.1;11.42
16923;Sulawesi;18.96;0.090992424;16.05;11.42
16924;Sulawesi;1.786;0.006506301;16.53;11.42
16925;Sulawesi;29.792;0.147550097;15.84;11.42
16926;Sulawesi;27.006;0.139463779;15.19;11.42
16937;Sulawesi;1.407;0.005923089;15.12;7.48
16949;Sulawesi;0.726;0.002054907;15.29;7.48
16951;Sulawesi;0.684;0.002576291;12.19;7.48
16952;Sulawesi;0.641;0;18.61;7.48
16955;Sulawesi;0.615;0;13.7;7.27
16957;Sulawesi;5.147;0.02129406;17.27;7.27
16967;Sulawesi;2.846;0.009670669;19.7;11.42
16968;Sulawesi;17.864;0.108439701;13.26;11.42
16972;Sulawesi;49.597;0.356874835;11.56;11.42
16974;Sulawesi;1.09;0.004610006;14.38;11.42
16975;Sulawesi;6.183;0.029478313;15.82;11.42
16976;Sulawesi;93.738;0.765307979;10.52;11.42
17047;Sulawesi;2.604;0.012771636;14.34;7.48
